date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-04-27,2.6,-0.5,0.15,-2.3,,-8,83,65,67.5,52,-4.2,-6.4,-6.2,-8.3,21,13.71,14,7,28,6,102.08,101.61,101.41,100.74,93.91,93.53,93.37,92.82,,,,,2.8,2.2,2.2,1.7,17.9,0,0,0,0,0,,,,06:07:00,20:56:00,14.82,6.12,20.93,5,6,5,9,-4,-2,,,,,,,,,,,,,
2021-04-26,15.2,6.81,6.69,-1.8,,-5,72,40.3,44,16,-4.2,-7.4,-8,-11.8,26,13.75,16,6,46,24,100.6,100.2,100.27,99.95,92.71,92.29,92.39,92.08,,,,,3.2,3,3,2.8,11.3,0,1.7,0,0,0,,,,06:09:00,20:54:00,14.75,6.15,20.9,6,6,12,13,-3,-2,,,,,,,,,,,,,
2021-04-25,10,3.54,2.45,-5.1,,-5,54,32.4,36.5,19,-10.1,-12.4,-12.1,-14,16,8.08,8.5,1,37,25,101.22,100.88,100.77,100.32,93.2,92.88,92.79,92.39,,,,,3.4,3,3,2.6,15.6,0,0,0,0,0,,,,06:11:00,20:52:00,14.68,6.18,20.87,5,5,10,10,-3,-2,,,,,,,,,,,,,
2021-04-24,8.9,2.27,1.55,-5.8,,-7,69,37.8,43,17,-9.4,-12.2,-12.2,-15,15,7.75,8,1,,,101.89,101.52,101.53,101.18,93.77,93.44,93.45,93.13,,,,,3.5,3,3,2.6,16.4,0,0,0,0,0,,,,06:13:00,20:51:00,14.63,6.22,20.85,7,7,7,8,-5,-5,,,,,,,,,,,,,
2021-04-23,5.3,-0.01,-0.39,-6.1,,-8,62,37.6,40.5,19,-11.1,-13.6,-14.3,-17.6,17,7.25,9.5,2,39,35,102.32,102.09,102.1,101.88,94.12,93.93,93.94,93.75,,,,,3,2.6,2.6,2.3,18.4,0,0,0,0,0,,,,06:16:00,20:49:00,14.55,6.27,20.82,7,7,5,5,-10,-8,,,,,,,,,,,,,
2021-04-22,4.8,-1.43,-0.1,-5,,-12,82,51.9,56,30,-1.5,-10.7,-8.1,-14.6,33,19.54,18.5,4,53,35,102.41,102.14,101.88,101.34,94.25,94.02,93.83,93.41,,,,,2.5,2.2,2.1,1.8,18.1,0,0,0,0,0,,,,06:18:00,20:47:00,14.48,6.3,20.78,5,5,4,4,-10,-8,,,,,,,,,,,,,
2021-04-21,20.8,10.26,10.6,0.4,,,76,41,45.5,15,2,-4.6,-3,-7.9,32,16.46,19.5,7,53,32,101.72,101.04,101.12,100.51,93.72,93.12,93.18,92.64,,,,,3.3,2.8,2.8,2.4,7.4,0,5.6,3.6,0.6,0,,,,06:20:00,20:45:00,14.42,6.33,20.75,6,6,19,19,-3,-2,,,,,,,,,,,,,
2021-04-20,13.7,5.85,4.94,-3.8,,-4,72,41.5,46.5,21,-5.1,-7.5,-8,-10.8,20,9.67,10,0,35,16,103.12,102.62,102.46,101.8,94.94,94.51,94.37,93.79,,,,,3.7,3.1,3.2,2.7,13.1,0,0,0,0,0,,,,06:22:00,20:43:00,14.35,6.37,20.72,5,5,14,14,1,1,,,,,,,,,,,,,
2021-04-19,10.4,3.38,3.35,-3.7,,-6,81,49.8,54.5,28,-5.2,-7.1,-6.8,-8.4,22,12.21,11.5,1,39,33,103.47,103.24,103.23,102.98,95.25,95.04,95.03,94.82,,,,,2.8,2.5,2.5,2.3,14.7,0,0,0,0,0,,,,06:24:00,20:41:00,14.28,6.4,20.68,7,7,9,9,-5,-5,,,,,,,,,,,,,
2021-04-18,7.1,2.89,3.59,0.1,,,93,62.1,64.5,36,1.9,-4.4,-3.5,-8.8,22,14.88,13,4,38,33,103.58,103.36,103.24,102.9,95.37,95.19,95.1,94.83,,,,,2.8,2.3,2.5,2.1,14.4,0,0,0,0,2.6,,,0,06:27:00,20:40:00,14.22,6.45,20.67,5,5,7,7,-3,-2,,,,,,,,,,,,,
