Row ID,Station ID,Station Name,Station Province,Station Latitude,Station Longitude,Location,Station Elevation (m),Station Climate Identifier,Station WMO Identifier,Station TC Identifier,Year,Month,Day,Data Quality,Date,Maximum Temperature (C),Minimum Temperature (C),Mean Temperature (C),Heating Degree Days (C),Cooling Degree Days (C),Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precipitation (mm),Snow on Ground (cm),Speed of Maximum Wind Gust (km/h),Direction of Maximum Wind Gust (10s Deg)
2721420210121,27214,EDMONTON BLATCHFORD,ALBERTA,53.57,-113.52,"(53.57, -113.52)",671,3012209,71157,XEC,2021,1,21,,01/21/2021 12:00:00 AM,-1.4,-9.3,-5.4,23.4,0,,,,,0,16,,
2721420210124,27214,EDMONTON BLATCHFORD,ALBERTA,53.57,-113.52,"(53.57, -113.52)",671,3012209,71157,XEC,2021,1,24,,01/24/2021 12:00:00 AM,-15.6,-21.2,-18.4,36.4,0,,,,,0.2,17,,
2721420210126,27214,EDMONTON BLATCHFORD,ALBERTA,53.57,-113.52,"(53.57, -113.52)",671,3012209,71157,XEC,2021,1,26,,01/26/2021 12:00:00 AM,-15.8,-20.1,-17.9,35.9,0,,,,,0.2,16,,
2721420210127,27214,EDMONTON BLATCHFORD,ALBERTA,53.57,-113.52,"(53.57, -113.52)",671,3012209,71157,XEC,2021,1,27,,01/27/2021 12:00:00 AM,-15.1,-17,-16,34,0,,,,,2.1,18,,
2721420210129,27214,EDMONTON BLATCHFORD,ALBERTA,53.57,-113.52,"(53.57, -113.52)",671,3012209,71157,XEC,2021,1,29,,01/29/2021 12:00:00 AM,-11.2,-23,-17.1,35.1,0,,,,,0,20,,
2721420210130,27214,EDMONTON BLATCHFORD,ALBERTA,53.57,-113.52,"(53.57, -113.52)",671,3012209,71157,XEC,2021,1,30,,01/30/2021 12:00:00 AM,-5.6,-18.2,-11.9,29.9,0,,,,,0,20,,
2721420210131,27214,EDMONTON BLATCHFORD,ALBERTA,53.57,-113.52,"(53.57, -113.52)",671,3012209,71157,XEC,2021,1,31,,01/31/2021 12:00:00 AM,-9.2,-19.2,-14.2,32.2,0,,,,,0,21,,
2721420210306,27214,EDMONTON BLATCHFORD,ALBERTA,53.57,-113.52,"(53.57, -113.52)",671,3012209,71157,XEC,2021,3,6,,03/06/2021 12:00:00 AM,8.9,-1.7,3.6,14.4,0,,,,,0,6,,
2721420210307,27214,EDMONTON BLATCHFORD,ALBERTA,53.57,-113.52,"(53.57, -113.52)",671,3012209,71157,XEC,2021,3,7,,03/07/2021 12:00:00 AM,7.7,-4.8,1.4,16.6,0,,,,,0,5,,
2721420210308,27214,EDMONTON BLATCHFORD,ALBERTA,53.57,-113.52,"(53.57, -113.52)",671,3012209,71157,XEC,2021,3,8,,03/08/2021 12:00:00 AM,1.8,-3.6,-0.9,18.9,0,,,,,0,3,,
2721420210309,27214,EDMONTON BLATCHFORD,ALBERTA,53.57,-113.52,"(53.57, -113.52)",671,3012209,71157,XEC,2021,3,9,,03/09/2021 12:00:00 AM,6.7,-3.5,1.6,16.4,0,,,,,0,3,,
