week_end,pruid,prename,prfname,numtotal_atleast1dose,numtotal_1dose,numtotal_2doses,proptotal_atleast1dose,proptotal_1dose,proptotal_2doses,numweekdelta_atleast1dose,numweekdelta_2doses,propweekdelta_atleast1dose,propweekdelta_2doses
2020-12-19,1,Canada,Canada,8734,8734,0,0.068445406,0.068445406,0,,,,
2020-12-19,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,972,972,0,0.186170162,0.186170162,0,,,,
2020-12-19,12,Nova Scotia,Nouvelle-Écosse,1092,1092,0,0.111502413,0.111502413,0,,,,
2020-12-19,24,Quebec,Québec,4728,4728,,0.055139785,0.055139785,,,,,
2020-12-19,46,Manitoba,Manitoba,894,894,0,0.064817225,0.064817225,0,,,,
2020-12-19,47,Saskatchewan,Saskatchewan,1048,1048,0,0.088912946,0.088912946,0,,,,
2020-12-19,61,Northwest Territories,Territoires du Nord-Ouest,0,0,0,0,0,0,,,,
2020-12-19,60,Yukon,Yukon,0,0,0,0,0,0,,,,
2020-12-19,62,Nunavut,Nunavut,0,0,0,0,0,0,,,,
2020-12-26,1,Canada,Canada,33734,33734,0,0.186133902,0.186133902,0,,,,
2020-12-26,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1785,1785,0,0.341886563,0.341886563,0,,,,
2020-12-26,11,Prince Edward Island,Île-du-Prince-Édouard,1152,1152,0,0.721691464,0.721691464,0,,,,
2020-12-26,12,Nova Scotia,Nouvelle-Écosse,2218,2218,0,0.226476514,0.226476514,0,,,,
2020-12-26,13,New Brunswick,Nouveau-Brunswick,2606,2606,0,0.333471533,0.333471533,0,,,,
2020-12-26,24,Quebec,Québec,17221,17221,,0.200838036,0.200838036,,,,,
2020-12-26,46,Manitoba,Manitoba,2177,2177,0,0.157837918,0.157837918,0,,,,
2020-12-26,47,Saskatchewan,Saskatchewan,1783,1783,0,0.151270785,0.151270785,0,,,,
2020-12-26,48,Alberta,Alberta,4792,4792,0,0.108370294,0.108370294,0,,,,
2020-12-26,61,Northwest Territories,Territoires du Nord-Ouest,0,0,0,0,0,0,,,,
2020-12-26,60,Yukon,Yukon,0,0,0,0,0,0,,,,
2020-12-26,62,Nunavut,Nunavut,0,0,0,0,0,0,,,,
2021-01-02,1,Canada,Canada,77521,77521,0,0.333119564,0.333119564,0,,,,
2021-01-02,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1785,1785,0,0.341886563,0.341886563,0,,,,
2021-01-02,11,Prince Edward Island,Île-du-Prince-Édouard,1674,1674,0,1.048707909,1.048707909,0,,,,
2021-01-02,12,Nova Scotia,Nouvelle-Écosse,2720,2720,0,0.277734949,0.277734949,0,,,,
2021-01-02,13,New Brunswick,Nouveau-Brunswick,2886,2886,0,0.369301169,0.369301169,0,,,,
2021-01-02,24,Quebec,Québec,28312,28312,,0.330185615,0.330185615,,,,,
2021-01-02,46,Manitoba,Manitoba,3432,3432,0,0.248828541,0.248828541,0,,,,
2021-01-02,47,Saskatchewan,Saskatchewan,3545,3545,0,0.300759917,0.300759917,0,,,,
2021-01-02,48,Alberta,Alberta,13383,13383,0,0.302654349,0.302654349,0,,,,
2021-01-02,59,British Columbia,Colombie-Britannique,19654,19654,0,0.381800691,0.381800691,0,,,,
2021-01-02,61,Northwest Territories,Territoires du Nord-Ouest,130,130,0,0.287858993,0.287858993,0,,,,
2021-01-02,60,Yukon,Yukon,0,0,0,0,0,0,,,,
2021-01-02,62,Nunavut,Nunavut,0,0,0,0,0,0,,,,
2021-01-09,1,Canada,Canada,211520,207033,4487,0.908933711,0.889652388,0.019281,,,,
2021-01-09,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2847,1994,853,0.545294702,0.381916978,0.163378,,,,
2021-01-09,11,Prince Edward Island,Île-du-Prince-Édouard,2487,2487,0,1.558026625,1.558026625,0,,,,
2021-01-09,12,Nova Scotia,Nouvelle-Écosse,2755,1679,1076,0.281308744,0.171440066,0.109869,,,,
2021-01-09,13,New Brunswick,Nouveau-Brunswick,6241,na,na,0.798616976,na,na,,,,
2021-01-09,24,Quebec,Québec,83294,83294,,0.971407199,0.971407199,,,,,
2021-01-09,46,Manitoba,Manitoba,8694,7813,881,0.630336636,0.566461944,0.063875,,,,
2021-01-09,47,Saskatchewan,Saskatchewan,5524,4571,953,0.468659459,0.38780637,0.080853,,,,
2021-01-09,48,Alberta,Alberta,44298,43574,724,1.001792,0.985418858,0.016373,,,,
2021-01-09,59,British Columbia,Colombie-Britannique,54354,54354,0,1.055886576,1.055886576,0,,,,
2021-01-09,61,Northwest Territories,Territoires du Nord-Ouest,511,511,0,1.131507274,1.131507274,0,,,,
2021-01-09,60,Yukon,Yukon,495,495,0,1.177114049,1.177114049,0,,,,
2021-01-09,62,Nunavut,Nunavut,29,29,0,0.073691968,0.073691968,0,,,,
2021-01-16,1,Canada,Canada,560796,534036,26760,1.475575551,1.405164204,0.070411,,,,
2021-01-16,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,4250,2516,1734,0.814015625,0.48189725,0.332118,,,,
2021-01-16,11,Prince Edward Island,Île-du-Prince-Édouard,4302,2907,1395,2.695066562,1.821143305,0.873923,,,,
2021-01-16,12,Nova Scotia,Nouvelle-Écosse,5740,3533,2207,0.586102429,0.360749108,0.225353,,,,
2021-01-16,13,New Brunswick,Nouveau-Brunswick,7918,5353,2565,1.013210898,0.684985847,0.328225,,,,
2021-01-16,24,Quebec,Québec,145786,145786,,1.70021334,1.70021334,,,,,
2021-01-16,35,Ontario,Ontario,189240,178383,10857,1.284375052,1.210688411,0.073687,,,,
2021-01-16,46,Manitoba,Manitoba,16499,14355,2144,1.19621856,1.040773225,0.155445,,,,
2021-01-16,47,Saskatchewan,Saskatchewan,14310,12572,1738,1.214068947,1.066615989,0.147453,,,,
2021-01-16,48,Alberta,Alberta,81859,77784,4075,1.85122785,1.759072394,0.092155,,,,
2021-01-16,59,British Columbia,Colombie-Britannique,85547,85502,45,1.661845107,1.660970932,0.000874,,,,
